No,시도,구군,국민행복지수,행복역량지수,여가,사회관계,교육,경제,환경,안전,건강
20,서울특별시,동작구,d,0.3712,0.2002,0.224,0.3623,0.3594,0.4874,0.5241,0.336
21,서울특별시,관악구,d,0.4034,0.2037,0.1551,0.1501,0.2858,0.425,0.6448,0.5065
22,서울특별시,서초구,a,0.6024,0.2724,0.4501,0.503,0.921,0.5075,0.4234,0.6763
23,서울특별시,강남구,a,0.6281,0.3043,0.3016,0.5955,0.9933,0.416,0.6969,0.6171
24,서울특별시,송파구,a,0.5453,0.192,0.4959,0.4632,0.6091,0.5124,0.456,0.6596
25,서울특별시,강동구,b,0.5229,0.2317,0.4123,0.3951,0.4233,0.4779,0.4855,0.715
26,부산광역시,중구,a,0.6036,0.4288,0.2166,0.3472,0.7565,0.1966,0.6374,0.8268
27,부산광역시,서구,b,0.5329,0.1076,0.1042,0.2663,0.2933,0.2964,0.7178,0.8836
28,부산광역시,동구,c,0.5317,0.1358,0.1553,0.3953,0.6842,0.4844,0.6587,0.6041
29,부산광역시,영도구,e,0.3518,0.1243,0.0094,0.4087,0.2217,0.5508,0.4401,0.4181
30,부산광역시,부산진구,c,0.447,0.1193,0.127,0.5995,0.4598,0.4563,0.2883,0.5989
31,부산광역시,동래구,a,0.5237,0.0655,0.4833,0.5999,0.3831,0.4052,0.4551,0.7246
32,부산광역시,남구,c,0.4276,0.0871,0.2272,0.619,0.3297,0.5422,0.5062,0.4537
33,부산광역시,북구,e,0.3637,,0.4301,0.5832,0.0844,0.5921,0.3248,0.4344
34,부산광역시,해운대구,d,0.3915,0.1267,0.3783,0.5989,0.336,0.6508,0.3942,0.3278
35,부산광역시,사하구,e,0.3179,0.0909,0.3788,0.7165,0.2831,0.1976,0.1436,0.361
36,부산광역시,금정구,c,0.4617,0.0904,0.4859,0.7324,0.3769,0.6128,0.1765,0.5716
37,부산광역시,강서구,e,0.3303,0.2904,0.522,0.2152,0.9899,0.1776,0.2717,0.07
38,부산광역시,연제구,c,0.4199,0.0238,0.4122,0.5233,0.4785,0.443,0.43,0.4166
39,부산광역시,수영구,d,0.4172,0.0404,0.1557,0.4581,0.3607,0.3782,0.4349,0.561
40,부산광역시,사상구,e,0.4032,0.0517,0.1217,0.5093,0.541,0.3668,0.1576,0.5559
41,부산광역시,기장군,c,0.4738,0.5211,0.5078,0.5007,0.4298,0.8287,0.4411,0.3824
42,대구광역시,중구,a,0.7384,0.598,0.4463,0.6247,0.781,0.2231,0.7281,1
43,대구광역시,동구,e,0.3053,0.0965,0.2631,0.3777,0.2675,0.7253,,0.3681
44,대구광역시,서구,e,0.2329,0.1395,,0.5229,0.3363,,0.1849,0.2596
45,대구광역시,남구,c,0.5006,0.0817,0.2008,0.4699,0.2459,0.3868,0.4562,0.8312
46,대구광역시,북구,e,0.3691,0.2337,0.4278,0.7195,0.4411,0.5778,0.2096,0.2541
47,대구광역시,수성구,b,0.4426,0.2263,0.6297,0.707,0.2827,0.7551,0.2574,0.4321
48,대구광역시,달서구,d,0.3858,0.2009,0.3674,0.766,0.3487,0.4726,0.3668,0.3122
49,대구광역시,달성군,c,0.4399,0.3028,0.5173,0.499,0.4486,0.7268,0.306,0.4013
50,인천광역시,중구,b,0.5146,0.2992,0.3831,0.3333,0.8391,0.4888,0.2809,0.5908
51,인천광역시,동구,b,0.5439,0.3058,0.8203,0.7253,0.582,0.3129,0.7416,0.4211
52,인천광역시,연수구,d,0.4042,0.1238,0.5808,0.7789,0.4015,0.493,0.3015,0.3239
53,인천광역시,남동구,e,0.3699,0.0862,0.4516,0.5361,0.4603,0.4239,0.3163,0.3139
54,인천광역시,부평구,e,0.3356,0.0541,0.4549,0.5,0.2607,0.5649,0.3734,0.258
55,인천광역시,계양구,d,0.4205,0.1692,0.6808,0.5639,0.2846,0.6082,0.3322,0.4128
56,인천광역시,서구,e,0.3615,0.1622,0.6203,0.4347,0.4769,0.5231,0.3136,0.2295
57,인천광역시,미추홀구,e,0.3136,0.0991,0.1831,0.3674,0.3265,0.4066,0.3312,0.3222
58,인천광역시,강화군,d,0.3915,0.6199,0.5983,0.1909,0.1021,0.8149,0.4645,0.3468
59,인천광역시,옹진군,b,0.4052,0.5264,0.276,0.5987,0.3745,0.5139,0.755,0.1772
60,광주광역시,동구,a,0.6208,0.6748,0.4808,0.6093,0.586,0.5641,0.2974,0.8355
61,광주광역시,서구,b,0.5468,0.3163,0.5386,0.7607,0.4646,0.48,0.3045,0.7003
62,광주광역시,남구,a,0.5372,0.4459,0.7109,0.6859,0.1891,0.6024,0.3902,0.6913
63,광주광역시,북구,b,0.4835,0.472,0.7926,0.6689,0.2865,0.7149,0.1966,0.5237
64,광주광역시,광산구,c,0.4431,0.3659,0.6661,0.7236,0.4107,0.676,0.1435,0.4107
65,대전광역시,동구,d,0.4377,0.2359,0.466,0.7541,0.2084,0.6414,0.0392,0.615
66,대전광역시,중구,a,0.5682,0.3258,0.6778,0.6226,0.3407,0.6457,0.1405,0.8593
67,대전광역시,서구,a,0.5625,0.2666,0.2432,1,0.4407,0.6546,0.3141,0.7111
68,대전광역시,유성구,a,0.6076,0.4697,0.5762,0.968,0.5779,0.7096,0.3601,0.635
69,대전광역시,대덕구,d,0.4655,0.4418,0.5909,0.8592,0.5136,0.2606,0.18,0.4975
70,울산광역시,중구,c,0.4424,0.3197,0.6615,0.6832,0.3613,0.5284,0.4789,0.3388
